file,真实标签,缺陷类型(MVTec原始)
t000.png,正常,
t001.png,正常,
t002.png,缺陷,faulty_imprint
t003.png,正常,
t004.png,正常,
t005.png,缺陷,combined
t006.png,缺陷,scratch
t007.png,正常,
t008.png,缺陷,scratch
t009.png,缺陷,crack
t010.png,缺陷,color
t011.png,正常,
t012.png,缺陷,crack
t013.png,正常,
t014.png,缺陷,scratch
t015.png,缺陷,contamination
t016.png,正常,
t017.png,缺陷,color
t018.png,正常,
t019.png,缺陷,faulty_imprint
t020.png,正常,
t021.png,缺陷,pill_type
t022.png,正常,
t023.png,正常,
t024.png,正常,
t025.png,缺陷,contamination
t026.png,正常,
t027.png,正常,
t028.png,正常,
t029.png,缺陷,contamination
t030.png,缺陷,combined
t031.png,正常,
t032.png,缺陷,contamination
t033.png,正常,
t034.png,缺陷,crack
t035.png,缺陷,faulty_imprint
t036.png,缺陷,crack
t037.png,正常,
t038.png,缺陷,contamination
t039.png,正常,
